clientid,clientcode
BRD206701,AB09
BRD206702,AB03
BRD206703,A205
BRD206704,AB08
BRD206705,AB98
BRD206706,AB82
BRD206707,AB96
BRD206708,AB06
BRD206709,AB11
BRD206710,A208
BRD206711,A211
BRD206712,AB75
BRD206713,A220
BRD206714,AB76
BRD206715,AB07
BRD206716,B170
BRD206717,AB63
BRD206718,AB83
BRD206719,B166
BRD206720,B168
BRD206721,A207
BRD206722,A212
BRD206723,R148
BRD206724,AB72
BRD206725,B130
BRD206726,AB12
BRD206727,B112
BRD206728,B131
BRD206729,AB64
BRD206730,B167
BRD206731,R144
BRD206732,R109
BRD206733,R103
BRD206734,R132
BRD206735,R149
BRD206736,R155
BRD206737,A104
BRD206738,A574
BRD206739,A202
BRD206740,A666
BRD206741,R141
BRD206742,AB53
BRD206743,R152
BRD206744,R153
BRD206745,R154
BRD206764,R114
BRD206765,R156
BRD206766,AR72
BRD206767,A019
BRD206768,A200
BRD206769,A086
BRD206770,A115
BRD206771,R158
BRD206773,R159
BRD206774,R106
BRD206776,A107
BRD206777,A025
BRD206779,R160
BRD206780,A114
